Major,Graduation Requirement,Course Quantity,Courses Satisfying
BS CS,COMPSCI 121,1,COMPSCI 121
BS CS,COMPSCI 187,1,COMPSCI 187
BS CS,MATH 131,1,MATH 131
BS CS,MATH 132,1,MATH 132
BS CS,MATH 233,1,MATH 233
BS CS,MATH 235,1,MATH 235
BS CS,COMPSCI 220,1,COMPSCI 220
BS CS,COMPSCI 230,1,COMPSCI 230
BS CS,COMPSCI 240,1,COMPSCI 240
BS CS,COMPSCI 250,1,COMPSCI 250
BS CS,COMPSCI 311,1,COMPSCI 311
BS CS,Integrative Experience,1,"COMPSCI 320, COMPSCI 326"
BS CS,Junior Year Writing,1,COMPSCI 305
BS CS,CS 300+ Elective,2,"COMPSCI 325, COMPSCI 328, COMPSCI 333, COMPSCI 335, COMPSCI 345, COMPSCI 348, COMPSCI 360, COMPSCI 365, COMPSCI 370, COMPSCI 373, COMPSCI 377, COMPSCI 383, COMPSCI 389, COMPSCI 390N, COMPSCI 390R"
BS CS,CS 300+ Elective / Outside Approved Elective,1,"MATH 411, MATH 545, MATH 551, MATH 552, ECE 353, ECE 547, ECE 668, COMPSCI 325, COMPSCI 328, COMPSCI 333, COMPSCI 335, COMPSCI 345, COMPSCI 348, COMPSCI 360, COMPSCI 365, COMPSCI 370, COMPSCI 373, COMPSCI 377, COMPSCI 383, COMPSCI 389, COMPSCI 390N, COMPSCI 390R"
BS CS,CS 400+ Elective,3,"COMPSCI 403, COMPSCI 410, COMPSCI 420, COMPSCI 429, COMPSCI 445, COMPSCI 446, COMPSCI 453,  COMPSCI 460, COMPSCI 461, COMPSCI 466, COMPSCI 474, COMPSCI 490A, COMPSCI 490P, COMPSCI 490S, COMPSCI 490U, COMPSCI 501, COMPSCI 503, COMPSCI 508, COMPSCI 513, COMPSCI 514, COMPSCI 520, COMPSCI 521, COMPSCI 527, COMPSCI 528, COMPSCI 529, COMPSCI 530, COMPSCI 532, COMPSCI 535, COMPSCI 546, COMPSCI 550, COMPSCI 560, COMPSCI 561, COMPSCI 563, COMPSCI 571, COMPSCI 574, COMPSCI 575, COMPSCI 576, COMPSCI 577, COMPSCI 578, COMPSCI 585, COMPSCI 589, COMPSCI 590A, COMPSCI 590B, COMPSCI 590C, COMPSCI 590CC, COMPSCI 590E, COMPSCI 590ED, COMPSCI 590F, COMPSCI 590G, COMPSCI 590GC, COMPSCI 590IV"